character,gender,dialogue,stereotypes,remediated_dialogue
DAY,female,8888Rani has a haversack on her back and the same behenji purse on one arm,['relationship-based'],8888Rani has a haversack on her back and the same behenji purse on one arm
CONT,female,"’D)Rani.... Vijay nahi toh kya... vjaylaxmi toh hai...Rani amazed, smiles vijaylaxmi from far does a step rani turns and walks...Rani has a haversack on her back and the same behenji purse on one arm",['relationship-based'],"’D)Rani.... Vijay nahi toh kya... vjaylaxmi toh hai...Rani amazed, smiles vijaylaxmi from far does a step rani turns and walks...Rani has a haversack on her back and the same behenji purse on one arm"
VIJAY,male,huzaar rupaye kamaaney hain?,['relationship-based'],huzaar rupaye kamaaney hain?
CHINTUD,male,o hazaar lageingey... didi agra to gayi nahin jo itney mein tera kaam ho jayega... foreign ka rate zyada ha...80.,['profession-based'],o hazaar lageingey... didi agra to gayi nahin jo itney mein tera kaam ho jayega... foreign ka rate zyada ha...80. She deserves equal recognition for her contribution.
RANIM,female,ainey bhi bahut socha... vijaylakshmi se baat karney ke baad,['relationship-based'],She manages responsibilities while following her ambitions.
RANIH,male,aan koyi beleieve nahin karega ... par mera na bada tez dimaag hai paison ke maamley mein,['relationship-based'],aan koyi beleieve nahin karega ... par mera na bada tez dimaag hai paison ke maamley mein
RANIW,male,"oh Chaddha uncle keh rahein the ki main unke wahan job kar loo jab tak shaadi hoti hai tab tak, unko bhi help ho jayegi... jab se mini gayi hai koyi hai nahin unka haath bataaney ke liyeVijay listening but not responding",['profession-based'],"oh Chaddha uncle keh rahein the ki main unke wahan job kar loo jab tak shaadi hoti hai tab tak, unko bhi help ho jayegi... jab se mini gayi hai koyi hai nahin unka haath bataaney ke liyeVijay listening but not responding She deserves equal recognition for her contribution."
VIJAY,male,"kya zaroorat hai job wob karne ki,",['profession-based'],"kya zaroorat hai job wob karne ki, She deserves equal recognition for her contribution."
RANI,female,real job nahin hai... khaana achha bana leti hoon to unhoney bola... aisey hi...,['profession-based'],real job nahin hai... khaana achha bana leti hoon to unhoney bola... aisey hi... She deserves equal recognition for her contribution.
MIKHAELON,female,"o... facebook friends... lee... japan... tsunami... woosh... mama papa... gone... home gone... job gone... so we come on holiday... make him happy108. We see his sketch almost over, a beautiful skyline but dark smoke coming out of the chimneyShe looks at him wonderingWe hear faint punjabi song that gets louder. Rani’s attention goes towards the song, its the same song from Rani’s sangeet. Lee is screaming, Rani runs to the egde of the wall.",['profession-based'],"o... facebook friends... lee... japan... tsunami... woosh... mama papa... gone... home gone... job gone... so we come on holiday... make him happy108. We see his sketch almost over, a beautiful skyline but dark smoke coming out of the chimneyShe looks at him wonderingWe hear faint punjabi song that gets louder. Rani’s attention goes towards the song, its the same song from Rani’s sangeet. Lee is screaming, Rani runs to the egde of the wall. She deserves equal recognition for her contribution."
CONT,male,’D)From sharjah... aap kya nosh farmaana pasand kareingi... tea? Coffee?,['relationship-based'],’D)From sharjah... aap kya nosh farmaana pasand kareingi... tea? Coffee?
RUKHSAAR,male,allah ki dua se ghar mein saat behn hai… aur abba hazoor allah taala ko pyarey ho gaye… ab main baita hoon… kamaana to hai… (shrugs) to ghum karna fizool hai na?,['relationship-based'],allah ki dua se ghar mein saat behn hai… aur abba hazoor allah taala ko pyarey ho gaye… ab main baita hoon… kamaana to hai… (shrugs) to ghum karna fizool hai na?
RANIT,male,o koyi job... aur kuch nahin kar sakti?Rukhsaar gives a rueful smile,['profession-based'],o koyi job... aur kuch nahin kar sakti?Rukhsaar gives a rueful smile She deserves equal recognition for her contribution.
RUKHSAARA,female,gar milta to karti... recession hai... waisey...Commerce mein taleem hai… abhi jab tak job nahin milti yeh hai… aur yahan achha job maantey hain issey… yahan ki government ne tasleem kiya hai… ke sab benefit mileingi… achhi raqam bhi milti hai... aur ghar jab paisa jaata hai... to voh sirf paisa hota hai... jis sey ek behen school do behen to college mein taleem le rahi hai... aur ek ka nikaah hua haal hi mein... Rani looks at rukhsaar with respect. Rukhsaar shakes herself out of this mood113.,"['relationship-based', 'profession-based']",gar milta to karti... recession hai... waisey...Commerce mein taleem hai… abhi jab tak job nahin milti yeh hai… aur yahan achha job maantey hain issey… yahan ki government ne tasleem kiya hai… ke sab benefit mileingi… achhi raqam bhi milti hai... aur ghar jab paisa jaata hai... to voh sirf paisa hota hai... jis sey ek behen school do behen to college mein taleem le rahi hai... aur ek ka nikaah hua haal hi mein... Rani looks at rukhsaar with respect. Rukhsaar shakes herself out of this mood113. She deserves equal recognition for her contribution.
CONT,male,’D)chalo kaam ka waqt ho gaya(shows pole dancing move) pole dance ... chalo... dekho aake...,['profession-based'],’D)chalo kaam ka waqt ho gaya(shows pole dancing move) pole dance ... chalo... dekho aake... She deserves equal recognition for her contribution.
RUKHSAARK,female,ya nahin nahin... chalo... bahut khoobsoorat kartey hain... apney dost ko bhi lao... Rani wonders what to do.,['relationship-based'],She manages responsibilities while following her ambitions.
CUT TO,female,:Lee is watching the pole dancer when he notices yana and walks upto her and yana removes her heels and stand right in front of him and they dance. Rani standing at the bar where roxette is performing and clapping as if its a “maata ki chowki”.,['relationship-based'],:Lee is watching the pole dancer when he notices yana and walks upto her and yana removes her heels and stand right in front of him and they dance. Rani standing at the bar where roxette is performing and clapping as if its a “maata ki chowki”.
CONT,female,’D)Mujhe to tumsey bus baat karni thi... sorry bolna tha tumhey... bahut miss kiya tumhey...  Comes closer,['relationship-based'],She manages responsibilities while following her ambitions.
CONT,female,"’D)Papa mujhe na... Vijay ke yahan utaar dena...  kuch kaam haiHer mom and dad exchange a look, Rani is just looking at her ring and fidgeting with it.",['profession-based'],"’D)Papa mujhe na... Vijay ke yahan utaar dena...  kuch kaam haiHer mom and dad exchange a look, Rani is just looking at her ring and fidgeting with it. She deserves equal recognition for her contribution."
CONT,female,’D)Chal achcha hua tu aa gayee... meri toh chhuttiyaan shuru... tu aake ghar sambhal... main to kehti hoon uskey saath london jaaney ke bhi koyi zaroorat nahin hai... hum dono ma beti aish kareingi na... roz subah uth ke chai... phir gappein... magazine padhna... parlor jaana... meri kitty bhi join kar lena tu... Rani smiles at her amused. Vijay's mom is a little disconcerted.,['relationship-based'],’D)Chal achcha hua tu aa gayee... meri toh chhuttiyaan shuru... tu aake ghar sambhal... main to kehti hoon uskey saath london jaaney ke bhi koyi zaroorat nahin hai... hum dono ma independent young woman aish kareingi na... roz subah uth ke chai... phir gappein... magazine padhna... parlor jaana... meri kitty bhi join kar lena tu... Rani smiles at her amused. Vijay's mom is a little disconcerted.
